resource_name,resource_type
MIL_MILLERG1,GSNONR
MIL_MILLERG2,GSREH
MIL_MILLERG3,GSREH
MIL_MILLERG4,SCGT90
MIL_MILLERG5,SCGT90
MIRAGE_GEN_0001,SCLE90
MIRASOLE_MIR11,WIND
MIRASOLE_MIR12,WIND
MIRASOLE_MIR13,WIND
MIRASOLE_MIR21,WIND
MISAE_UNIT1,PVGR
MISAE_UNIT2,PVGR
MLSES_UNIT1,CLLIG
MLSES_UNIT2,CLLIG
MLSES_UNIT3,CLLIG
MOZART_WIND_1,WIND
MUSTNGCK_BES1,PWRSTR
MUSTNGCK_SOLAR1,PVGR
MUSTNGCK_SOLAR2,PVGR
MWEC_G1,WIND
MYR_UNIT1,PVGR
MYR_UNIT2,PVGR
NACPW_UNIT1,RENEW
NBOHR_UNIT1,WIND
NCARBIDE_NCARBIG1,SCLE90
NCARBIDE_NCARBIG2,SCLE90
NCARBIDE_NCARBIG3,SCLE90
NCARBIDE_NCARBIG5,SCLE90
NCARBIDE_NCARBIG6,SCLE90
NCARBIDE_NCARBIG7,SCLE90
NCARBIDE_NCARBIG8,SCLE90
NCO_ESS1,PWRSTR
NEBULA_UNIT1,PVGR
NEDIN_CC1_1,CCGT90
NF_BRP_BES1,PWRSTR
NOBLESLR_BESS1,PWRSTR
NOBLESLR_BESS2,PWRSTR
NOBLESLR_SOLAR1,PVGR
NOBLESLR_SOLAR2,PVGR
NUECES_B_CC1_1,CCGT90
NWF_NBS,PWRSTR
NWF_NWF1,WIND
NWF_NWF2,WIND
OBERON_UNIT_1_J01,PVGR
OBERON_UNIT_1_J02,PVGR
OCI_ALM1_UNIT1,PVGR
OECCS_CC1_4,CCGT90
OECCS_CC2_4,CCGT90
OGSES_UNIT1A,CLLIG
OGSES_UNIT2,CLLIG
OLINGR_OLING_2,GSREH
OLINGR_OLING_3,GSREH
OLINGR_OLING_4,SCLE90
OVEJA_G1,WIND
OVEJA_G2,WIND
OWF_OWF,WIND
OXY_CC_OXY_CCG1,SCLE90
PALMWIND_UNIT1,WIND
PANDA_S_CC1_1,CCGT90
PANDA_T1_CC1_2,CCGT90
PANDA_T2_CC1_1,CCGT90
PAP1_PAP1_J01,WIND
PAP1_PAP1_J02,WIND
PB2SES_CT1,SCLE90
PB2SES_CT2,SCLE90
PB2SES_CT3,SCLE90
PB2SES_CT4,SCLE90
PB2SES_CT5,SCLE90
PC_NORTH_PANTHER1,WIND
PC_SOUTH_PANTH31,WIND
PC_SOUTH_PANTH32,WIND
PC_SOUTH_PANTHER2,WIND
PEARSAL2_AGR_A,DSL
PEARSAL2_AGR_B,DSL
PEARSAL2_AGR_C,DSL
PEARSAL2_AGR_D,DSL
PENA3_UNIT3,WIND
PENA_UNIT1,WIND
PENA_UNIT2_J01,WIND
PENA_UNIT2_J02,WIND
PEY_UNIT1,WIND
PH1_UNIT1,WIND
PH1_UNIT2,WIND
PH2_UNIT1,WIND
PH2_UNIT2,WIND
PHILLWND_UNIT1,WIND
PHILLWND_UNIT2,WIND
PHOEBE_UNIT1,PVGR
PHOEBE_UNIT2,PVGR
PHOENIX_UNIT1,PVGR
PISGAH_SOLAR1,PVGR
PISGAH_SOLAR2,PVGR
PLN_UNIT1,PVGR
PLN_UNIT2,PVGR
PRIDDY_UNIT1,WIND
PRIDDY_UNIT2,WIND
PROSPERO_UNIT1,PVGR
PROSPERO_UNIT2,PVGR
PRO_UNIT1,SCLE90
PRO_UNIT2,SCLE90
PRO_UNIT3,SCLE90
